query_id,answer
40,3077 1910 3470 3078 2646 4308 4361 3861 3641 3265
41,3265 4362 3470 2245 3588 2943 1910 3932 2204 4503
42,4403 2866 4407 3470 2944 3843 1966 3265 2521 1958
43,1901 2943 4396 2219 3265 1958 4362 1960 3090 4403
44,2865 1966 2866 2696 3470 2254 3844 3861 2220 4532
45,2865 2866 1966 4532 4407 3844 2646 2696 3209 3843
46,2665 4231 2943 4358 2866 4408 4308 3553 4398 4214
47,3077 3470 4010 3078 3641 2943 4313 3889 1910 4406
48,4407 2944 2521 4403 3209 3843 1958 2802 2943 3470
49,4358 4408 1960 4308 4083 4012 1899 3090 1923 3027
50,1951 1899 4286 3579 3861 2646 4308 3469 1961 4532
51,2944 2521 3843 2061 3026 4404 4407 3090 1847 3870
52,4361 3995 4447 4234 2698 2943 3006 4395 4384 3090
53,3090 1824 4358 2943 4361 4403 2405 3861 2511 2408
54,4521 3641 3995 2254 3470 4503 1910 3478 3014 4313
55,2646 3168 2943 2238 1901 4532 3861 3128 4308 3643
56,4403 2245 2408 4407 3265 1910 2944 1958 2943 4396
57,2937 2254 3930 2949 1847 4221 4223 2905 3256 4408
58,2646 2220 3861 4384 2943 4308 4440 1824 3995 1909
59,2865 1966 2866 3844 4532 4407 3843 2696 3567 2944
60,4403 4407 2944 2238 1958 2521 2247 1960 2943 3209
61,4396 3265 2943 2245 3078 2408 3470 1958 4389 2221
62,1966 4403 2865 3168 4400 2238 3844 2943 4407 2220
63,4403 4400 2061 4407 1824 2238 3843 4361 3995 3090
64,4308 2254 2462 1907 4331 4286 1909 4328 1961 4018
65,2968 2794 2695 4008 2663 2795 4287 4372 2661 3595
66,2203 4371 1961 4249 4296 3469 2254 1967 4291 4269
67,3470 3078 3077 3889 2943 3265 2218 4389 2892 4330
68,4008 4287 2663 2968 2794 3595 2695 2898 2661 2253
69,2866 2696 2865 4403 1966 3470 2037 2238 4408 1824
70,4286 4308 3265 2831 1910 4313 1909 1907 4220 4328
71,3265 1901 2943 1958 3090 2663 4446 3150 4396 2220
72,4234 2646 4308 1951 4362 2943 2962 1901 3995 3015
73,2886 2288 2894 3469 2898 2663 2220 2254 2794 2255
74,2865 1966 2866 4532 4403 2696 3844 2238 4407 3470
75,3078 3077 3470 3265 2943 2866 3861 1910 4010 3579
76,1901 3265 1958 2247 3090 2408 2943 3088 4396 1960
77,2943 4396 1901 2408 3090 2171 1958 1960 2219 3088
78,4371 4134 4313 1961 4224 4220 1967 4521 3993 3889
79,2865 2866 4407 3844 1966 2220 2408 2944 3209 3843
80,3861 2902 2911 2244 4361 1967 3995 3469 4329 2254
81,2866 1836 2865 2220 4408 3470 1838 4197 2696 2937
82,1910 4400 2245 4403 4308 3265 4503 2238 4362 4446
83,2646 4308 3265 2943 4361 1910 3861 4234 4362 2866
84,3474 4403 2254 4400 2238 2206 4148 3932 2204 1843
85,2962 3995 4308 4361 1824 4302 4409 4545 4515 4243
86,2943 4234 4361 3090 4308 1951 2646 4403 1901 3861
87,3077 3470 3078 2646 2943 1910 2866 4234 4503 3641
88,3861 2646 4308 1951 3995 2943 4243 4286 4218 1961
89,1951 2943 3861 2646 2866 4308 1901 3168 2865 2902
90,2865 2866 1966 3844 2696 4532 3470 2220 4403 2243
91,1901 1958 3265 2943 4396 3088 3483 3090 4407 2408
92,3470 3579 3265 2245 3861 3588 2943 4362 3078 3077
93,2238 4387 2944 4400 3843 4403 4407 1909 1824 4396
94,3260 2062 3739 2204 3932 2061 4110 4411 3147 3748
95,3861 2902 2911 2646 2943 4308 4286 2866 1901 1951
96,4403 4407 2866 2943 1958 2247 2238 2944 3470 4400
97,4403 4407 4400 4361 3995 1824 3843 3090 1833 2061
98,4446 3265 3579 2943 1951 3078 3470 3861 2245 1910
99,3470 1958 4403 3265 4407 1910 3078 2866 2943 2902
100,2245 3436 3265 4446 4286 3078 3168 2943 1910 1901
101,4403 4407 2943 2944 3090 1958 2408 2866 2238 2247
102,2405 3150 2661 3090 2061 2695 2795 3552 2205 2663
103,2943 4389 2408 4440 2220 1901 1958 4407 3090 4396
104,4407 4403 2944 1958 2408 2521 3209 2943 2866 2802
105,3078 3077 3470 2408 2646 2943 3265 1910 4308 1918
106,2220 2646 1836 4440 4408 3844 3861 4308 2943 4322
107,4328 1909 1836 4399 4308 1907 4234 1838 1961 4227
108,3861 2646 2943 4308 1836 2220 2866 3016 3090 2244
109,3077 3470 3078 1910 3265 3579 4010 2646 3889 3641
110,2646 4328 4308 3972 1923 1909 4234 3169 4545 4515
111,2646 4308 4233 1923 1909 4009 1980 4408 2962 4322
112,4403 3470 1847 1824 4330 2254 4223 4221 3090 4407
113,3265 2943 3078 1901 4446 3579 2245 1958 4407 2408
114,2243 3026 2254 2061 4403 3431 4329 2238 2944 4407
115,1842 2791 4371 4184 4227 2075 4224 4290 1948 2674
116,2408 4407 2943 4396 1958 2802 4403 1901 2944 1918
117,4308 1907 4234 1985 4328 4243 2198 4184 1909 1899
118,4440 4389 3843 2408 4396 2221 4312 1918 4407 3078
119,3077 3078 4313 1910 3470 3641 3889 4010 4521 2646
120,2943 4406 3861 2220 1824 2911 2902 4396 2408 4440
121,3078 3470 2944 4440 3077 2521 2943 4407 2408 4389
122,4451 4447 2698 2405 3314 4209 3861 2331 4214 3995
123,4403 2220 2061 4407 1824 3843 2408 1833 4515 4545
124,1985 2238 2943 1824 4221 4223 3090 1954 4545 4515
125,2944 2521 2663 2802 4407 3090 3843 2253 2064 2220
126,4308 1907 3995 4361 4068 4515 4545 4328 4243 1970
127,3470 1824 3078 3889 3077 4221 4223 1833 2943 2255
128,4403 4407 2238 2943 2247 2831 1958 2866 3209 2408
129,3090 4403 2238 1960 3027 4329 2408 4361 4400 3995
130,2865 2866 2646 2943 4403 4532 1966 4234 4407 4308
131,2795 4008 3595 2695 2663 3552 4287 2968 2794 2661
132,2255 3889 4404 1824 3090 2892 1831 2901 4223 4221
133,3265 3090 4361 1958 2663 2247 4403 2245 3995 4503
134,3889 1910 3641 4503 4521 4502 4446 4177 4010 4134
135,2944 2238 3843 4407 4387 4403 1909 1824 3870 2065
136,4403 2696 4407 2866 3470 2943 2865 4532 1966 3009
137,2665 4362 4308 4358 4447 2646 2943 4408 1909 1910
138,2057 4110 2062 4404 2254 3431 3870 2065 4098 4047
139,3265 2943 1901 2408 1958 4446 4407 4396 4403 2646
140,4407 2944 4403 2521 1958 3090 3843 2802 2061 1901
141,4308 4328 1907 1909 4234 1918 4396 4243 3995 3419
142,2865 1966 2866 3844 4532 4407 2220 2696 2646 2944
143,2943 4308 3861 2911 2902 3995 1901 4234 2405 1958
144,2943 2247 4440 4389 1960 2249 4396 4403 3090 1958
145,1901 4308 1899 4286 2244 3995 4362 4328 1836 2646
146,4361 3995 1958 4403 2943 3090 3861 2244 4515 4545
147,3470 3209 3078 4403 2944 4407 1958 2521 1966 2238
148,2865 1966 2866 3844 4532 4407 3168 2220 3209 4403
149,2865 4403 1966 3844 2866 4407 2061 3168 3209 3090
150,2254 1830 2029 2244 4371 1838 1985 4197 4408 1967
151,4403 4407 1958 3209 2061 2944 2064 2247 1966 3843
152,2943 4403 4407 2408 3209 4396 1958 2944 4440 3843
153,1907 1961 4308 4328 4234 3995 1909 4243 4286 1918
154,3436 4286 2245 4313 1910 4446 3265 4308 4521 1907
155,4403 4407 2865 1966 2408 3209 3843 1958 3168 1824
156,2866 2943 2865 4407 4403 2944 1966 2696 4396 2408
157,4403 4407 2943 1958 2866 3209 2944 4372 1966 4396
158,4308 3861 2646 3995 1951 2943 4234 1961 3090 4328
159,4407 2220 2865 2866 4403 2064 2408 1958 2943 1966
160,3889 4134 1910 4521 4427 3641 4010 4520 4503 2717
161,3265 3090 2665 2663 2943 3078 3470 4231 4330 2968
162,2220 2865 2866 4408 2037 3470 2696 3844 4407 4406
163,3265 4313 4521 2212 2245 1910 3090 1961 2244 3641
164,2663 4403 2968 2794 3864 2243 2696 2695 4372 2939
165,3470 3078 3077 4010 1910 2866 3889 2911 2902 3209
166,4362 4308 4234 4447 3088 2646 1961 1901 1909 4227
167,2696 4403 2238 4400 1966 2866 4407 3470 3843 2865
168,1951 4361 2646 3995 4545 4515 4308 4362 4403 4234
169,2866 2865 1966 4403 4532 2238 2943 4308 2646 4407
170,4403 4407 2408 3168 1958 1918 2865 1824 1966 4361
171,2696 4440 2243 3864 4008 2288 2898 2894 2886 2695
172,2646 4308 2220 2943 2962 2866 2408 4218 3169 1836
173,2696 2254 3864 4433 2196 3128 2243 4371 2894 2288
174,1907 4403 4361 2244 4308 3090 1910 4515 4545 4234
175,3995 1961 1967 4447 4371 4433 2196 2203 2254 4361
176,2064 2220 1958 4403 4440 4407 2944 2943 3090 3150
177,4308 2943 2646 2408 1901 4407 2802 3168 3861 2944
178,2902 2911 3861 2943 2646 1901 3469 4308 3168 4329
179,2937 2910 4083 4012 4408 2254 3016 1980 2908 3028
180,1910 3078 2902 2911 3265 2245 4047 3470 3565 1809
181,4396 4440 4407 2408 4389 2943 1958 2802 2944 1960
182,2646 2220 1909 4440 4426 4009 2866 2943 4308 4328
183,4308 3861 3995 2831 1961 4243 4361 4234 4286 2943
184,2865 1966 3844 2866 4532 4403 2220 4407 3168 3209
185,2902 2911 3128 1967 2244 2939 2898 2695 1961 3861
186,2254 4371 1967 1961 2244 4296 4249 2696 3861 2196
187,2831 4403 2238 2866 4407 2943 2944 4308 4361 4243
188,4403 4361 1824 4400 2238 3995 2696 4407 3843 4545
189,4403 2865 2866 4407 1966 2244 2220 4400 2831 3168
190,4204 3861 4373 4310 3469 4018 3580 4218 2220 4006
191,2943 2866 4532 4440 2944 1901 3643 2521 2220 2894
192,1909 4302 4409 4426 2254 4308 2065 3870 4328 4227
193,4403 4407 3843 1958 4400 3209 1824 4387 2944 2408
194,3861 1951 2646 4286 1961 2943 4308 2866 2911 2902
195,2944 4404 2521 3843 2061 3026 3090 1847 2060 2253
196,4407 2944 2521 4403 1958 2408 2802 3843 2943 3209
197,2943 2405 2249 1960 3090 4329 2221 2902 2911 4389
198,2943 1951 1901 4532 4308 2646 2902 2911 3643 2866
199,2220 3844 2408 3168 2865 4009 4426 1836 2944 4407
200,4403 4407 1958 3090 2944 2061 4361 2064 2521 3209
201,4403 2061 1958 1824 3090 4361 3864 3149 2696 2243
202,4396 2943 2408 1958 3090 4389 2405 4407 1901 2221
203,4407 4403 2944 2521 3843 3209 2238 2902 2911 1958
204,4308 3265 1910 4234 4134 4446 1907 1909 4328 4503
205,2943 2866 4403 4407 2865 2220 4406 1966 1901 2944
206,1958 2249 4403 2247 1960 4396 3090 3149 4361 4407
207,2943 1901 4396 4362 3090 2408 1958 2665 3265 3088
208,2944 3843 3209 4407 2521 2866 2408 4329 4403 4396
209,2943 1951 2646 3643 4308 2831 2866 4407 4286 1901
210,3470 3077 1910 3078 3641 4503 3889 4361 3090 3861
211,4407 4403 1958 2943 2408 2866 2865 2220 3209 1901
212,4308 4243 4286 2918 2916 3995 2831 1907 1901 4234
213,3078 3470 4440 3077 4389 2943 1809 1910 2911 2902
214,2866 4403 4407 3026 2865 1966 2944 4395 2943 1847
215,1909 4328 4399 2219 4308 4221 4223 1836 1907 1838
216,2794 2968 2695 2255 2922 2663 2898 4372 1967 4008
217,2247 2405 2249 3090 1958 4403 1960 1901 3265 2943
218,2944 1923 4426 2220 4009 2866 2646 2521 2408 4197
219,2943 3090 4403 2663 4389 1958 4396 2695 4407 2898
220,2288 4008 3128 4005 2695 2220 2794 2898 2894 2663
221,4396 2408 4389 2943 4407 4440 1958 2944 2221 2802
222,1951 2646 2866 3844 3861 4338 2943 3168 4532 2865
223,1958 4396 2943 2408 4389 4407 2802 2221 4440 1960
224,2238 4403 4407 1960 2831 3870 2065 4372 2898 4408
225,3016 4008 4287 4396 2663 2968 2695 2661 2794 2910
226,4371 1967 1961 2910 4368 2254 4207 2670 2203 3051
227,3436 4308 4328 4286 1907 1961 1909 3995 4243 4426
228,4407 4403 2865 2408 2831 2866 2944 3843 1966 2238
229,2865 3470 1958 4407 4403 1966 2866 2408 3168 3265
230,2696 3090 4403 4361 2866 4400 1824 3995 3006 2061
231,4286 3436 4308 4446 4313 2831 3265 2408 4173 2943
232,1966 2865 2866 4407 3209 4532 2944 4403 3843 2521
233,3643 1901 4532 3128 2943 1951 3168 2866 4407 4362
234,1958 4396 2249 2247 4403 3090 1960 2802 2408 4407
235,1966 4387 4407 2944 2865 4403 2866 3843 2408 2943
236,4403 4407 2866 2247 2238 1966 1958 4361 4400 2865
237,3483 4396 2219 2943 1958 3265 1901 4008 3088 1846
238,4308 4362 3592 4328 3265 3088 4234 3995 1901 2943
239,1960 2937 2910 2898 2221 4047 4389 3930 2254 2663
240,2247 2831 1961 2695 2922 2663 2254 4243 2244 4308
241,4286 4308 4328 1901 3436 2831 3168 1836 2943 2408
242,4362 1901 3090 3265 2943 3088 4308 4407 4447 4330
243,2220 2408 4407 4389 3168 1901 2943 3090 1958 2511
244,2943 3861 3090 2911 2902 4329 3469 2866 2646 1967
245,1966 2865 4387 4407 4532 2866 3843 3567 4403 2944
246,4403 2238 2866 2696 4361 3470 4243 2254 2865 3995
247,2944 1909 3843 2238 1824 2521 4361 4387 2220 4406
248,2968 2663 4008 4330 2794 4287 2695 2661 3090 4337
249,3470 4406 2866 2206 2696 2865 2943 1966 4233 2037
250,2943 2646 3861 3128 2244 2911 2902 1961 3469 4308
251,4403 2238 3090 4407 1824 4243 2944 4361 4329 3843
252,2254 4371 2243 3864 1967 2696 2244 2196 4433 1961
253,3889 4308 3641 3265 4286 4313 1961 4010 4446 4427
254,3861 2902 2911 1961 2254 4308 4329 3469 2831 2220
255,1836 3090 1958 4396 2944 4328 4426 2408 4308 1909
256,4403 4407 2865 1966 2866 2238 2247 1960 2696 4532
257,3995 4361 4371 1970 3090 1961 2172 4515 4545 1967
258,4446 3641 1910 4134 4234 4313 3265 4502 4503 4521
259,2866 4403 3209 3843 4400 4407 2865 2944 1966 3470
260,3861 1910 4308 2646 3265 3579 4286 1951 4446 4313
261,4407 2408 4403 2944 3209 1958 3168 3843 2521 4396
262,2943 2646 1901 1951 2665 4308 4532 4234 3168 2220
263,1961 3858 4382 3592 3254 2887 2915 2923 2197 1985
264,4433 2196 3016 4371 1954 2674 3993 2254 2928 4184
265,4407 4403 2944 2521 2238 2943 3843 2902 2911 2894
266,2698 3995 4361 4447 3006 1824 3861 3314 2405 1907
267,1966 4403 2865 2866 4407 4400 3209 2238 2943 4532
268,3265 3889 4134 1910 4308 3641 4521 1961 2044 4313
269,3995 2698 4361 4308 4545 4515 3862 1824 2244 1970
270,3861 2646 4234 4361 2902 2911 1907 4384 4308 3995
271,3889 1910 3641 4134 4286 2245 4521 1909 4503 4308
272,2865 2866 1966 3843 2696 3844 2944 4407 2521 3861
273,3861 1951 4308 2646 2943 4302 4409 2220 3469 4329
274,4396 1901 2943 1918 1958 2219 3265 2896 3090 4403
275,3077 3078 3470 2646 1910 3889 4313 2220 3169 4009
276,2696 2866 3843 4407 2944 3861 4403 2943 1824 3470
277,2405 2698 2663 3090 4008 2968 2695 4451 2171 2898
278,4286 3436 1961 4227 1967 2959 4313 4328 4016 4308
279,1961 4227 4290 3995 3592 4016 1838 4249 4296 4322
280,3265 3078 1836 1910 3470 2254 3483 1847 4427 4223
281,2943 2405 4440 4389 2911 2902 3861 2171 2794 4008
282,2646 4308 1907 1836 3006 2220 4234 4361 1824 1918
283,3265 2245 4503 3090 1901 4446 3863 3853 4403 4308
284,2663 4008 4287 2661 2968 2695 2279 2794 2253 3595
285,4308 4234 3995 4362 1907 4328 2646 2665 4224 4286
286,4308 4328 1907 1909 4446 1910 4286 4234 4362 3265
287,3734 3995 3592 2899 4228 4376 4330 2900 3735 4186
288,2663 2962 3265 1901 2106 1827 2661 4403 3595 4389
289,4308 4009 1836 2831 4426 4328 2944 3843 2244 4408
290,2646 4361 4234 3006 1824 4403 4308 3995 2943 4548
291,4407 2408 4403 2802 1958 2220 2944 2943 2521 3843
292,2865 4403 2866 1966 2238 2696 3027 2902 2911 3090
293,3078 3265 4396 2943 3470 4389 4440 3077 2245 2408
294,4407 4403 3026 2944 2521 3843 2894 1958 3209 2238
295,1966 4403 2865 4400 2696 2866 2238 4407 4387 4532
296,2943 3861 4308 2902 2911 2646 1951 2220 3469 2247
297,3265 4396 2245 1901 3090 1958 2408 2943 4446 2663
298,2220 1966 3844 2865 4407 2886 2408 2866 2037 3008
299,4406 2943 4371 3861 4295 4277 4221 4223 2254 2220
300,3265 3090 1958 2663 2408 4407 1960 2944 4403 1910
301,2220 3168 2408 4407 2943 4322 3844 1836 2865 3209
302,4371 4296 4249 1967 1961 2670 2203 3051 4337 4439
303,4286 4308 1961 4330 4371 4328 1909 2254 1918 3090
304,2646 3015 2220 3861 4456 4408 4447 2037 3995 4440
305,4362 1901 3090 4197 1961 4243 4221 4223 1970 1967
306,1961 4362 4308 3592 4227 4330 1901 4328 1899 3995
307,3993 2663 4371 4008 4296 4249 4287 2968 1967 1961
308,3861 1951 4286 2646 4373 1899 4308 2911 2902 4310
309,2254 2288 2663 2253 2795 4008 3552 2898 4005 2886
310,2943 3128 1901 1951 2646 3643 3088 2944 2251 4396
311,2865 2866 1966 3168 4407 3844 2220 4403 3209 2408
312,3265 1901 2245 3853 3863 3090 2943 1960 4396 2249
313,3265 4446 4308 1910 2245 4313 3090 2244 2943 4503
314,4308 3090 1901 4396 1958 2244 1985 1961 2663 1923
315,3128 2902 2911 3861 3168 2646 2943 1901 3643 1951
316,4403 4407 2255 1824 1958 2943 2892 4223 4221 1828
317,4308 4234 4328 1909 4362 2646 1907 4286 4221 4223
318,4407 4403 4387 1966 3843 1958 2944 2943 3209 2238
319,2044 1910 4503 3641 4446 4502 2808 3889 4010 4313
320,4361 4234 4233 1824 2698 4384 3995 2646 4333 3861
321,4286 1907 1909 1961 3436 4371 4220 1838 4227 4308
322,3843 2944 1847 4111 1836 4221 4223 4407 1958 2238
323,2939 4372 2886 4403 3261 2894 2696 2898 4407 2943
324,2831 4403 3843 4407 2521 2944 2866 1824 4361 3209
325,4403 2247 2064 4407 1958 4372 2249 3261 1960 2802
326,3436 4286 4313 2245 4446 3265 4328 1910 3077 3641
327,2646 4009 1923 1980 3861 1909 1824 3169 4322 4233
328,1910 4503 4134 4010 3641 4502 3090 4009 1923 2044
329,3470 4403 4400 1910 2238 3265 2245 2944 2696 4361
330,2646 2943 4308 1951 2911 2902 1901 3861 1958 4407
331,2943 4440 2220 4389 3090 1809 1960 3861 2902 2911
332,4503 1910 4308 3641 4446 4521 3995 4447 4502 4361
333,2911 2902 2943 3861 2646 3469 2898 3128 2244 4308
334,2866 2944 4403 2943 2238 4447 2865 4407 2521 4308
335,1899 2943 1901 3128 4308 1951 3090 3643 2408 3861
336,3265 4446 1901 3863 3853 1958 4396 2943 2245 4362
337,3265 1958 4403 3090 2943 4407 2944 1910 3078 1836
338,1951 4308 2646 2943 4243 4361 2866 2831 3168 4286
339,4234 4308 4451 2698 4447 3090 4362 3995 1923 2646
340,2244 2695 2663 1961 4224 4371 3993 2968 4337 4439
341,4407 2802 2064 4403 1958 2944 3209 4396 3843 2866
342,4361 3995 4243 1961 4371 3861 3090 4162 1970 4218
343,2220 2866 2865 2646 2943 3844 2944 1966 1836 4407
344,3265 1901 2943 2245 1958 3090 3078 2898 4396 2663
345,3090 4403 2943 2944 4440 2220 4407 3843 4389 1958
346,4291 4445 4322 2157 1985 4371 3168 4220 4410 2254
347,4403 1824 3090 4361 4400 3995 4407 1958 2247 2238
348,2064 4407 2408 1958 2944 2802 2521 2065 3870 4009
349,2943 4389 4440 2255 4312 3090 2888 2944 2218 4396
350,2865 1966 2866 3844 4532 2696 3470 3567 2243 2220
351,2238 2866 4403 1966 2928 4358 3027 4400 2943 4408
352,3470 1910 2245 4403 3265 4503 4361 2238 4447 2405
353,2062 4110 2065 3870 4404 2061 4098 2047 4205 2057
354,4134 1985 1961 1967 4371 4184 4249 4296 3993 4337
355,4407 2962 2521 1966 3843 2944 2866 4403 3209 2408
356,3265 4308 4134 2044 1909 1910 4446 3889 3641 4328
357,2646 3861 4308 1907 4218 1961 2943 4234 1909 2220
358,2865 3844 1910 2646 2866 3168 2220 3078 3470 2943
359,2866 4403 2865 1966 4407 3209 2238 4532 2944 2831
360,3861 2911 2902 4308 4361 3995 1961 2831 1967 4243
361,4231 2665 3090 1842 4148 3553 4398 2249 1958 2898
362,2220 3995 2244 4243 3168 4515 4545 2254 2831 2918
363,2865 3844 2866 1966 2696 3470 2220 4406 2037 2206
364,4308 4328 1907 3995 1909 4361 4243 3090 4545 4515
365,2795 4287 3552 2415 4008 2253 2279 2663 3595 2661
366,2865 1966 3844 3168 2866 2220 4403 2831 4407 2943
367,3470 4406 3077 3078 2943 4313 4371 1967 3995 3932
368,4308 4234 2646 3006 1836 2866 4361 4338 4331 4328
369,3265 4328 3641 1910 2245 3889 2044 4521 4308 4313
370,1951 3579 2646 4446 3265 4313 4521 3641 4286 1910
371,2253 2663 2898 2695 2247 2795 3090 2254 4372 3552
372,1909 4009 4308 1923 4328 4396 2646 4515 4545 4426
373,3265 1901 2663 3150 2245 4446 2253 3090 2044 3853
374,4403 3470 2866 2831 4407 3265 4308 1910 2245 2865
375,2646 4532 2943 3168 1951 4440 3643 3128 2866 2865
376,2865 1966 2866 4532 3844 2696 4407 3567 4403 3470
377,3861 2220 2646 4408 2037 4308 4322 3995 3469 2943
378,3265 4446 2663 1901 2253 2245 1958 3090 3863 3853
379,2220 4389 2943 4440 2831 4407 2944 2408 2866 3972
380,4403 4407 3090 2944 1958 2061 2943 2521 2064 3209
381,1966 2865 4403 2866 4407 3844 4532 2238 4400 3209
382,4322 1838 4227 1836 4408 4447 2254 4302 4409 2937
383,4242 4371 2254 2196 4433 3016 1967 2968 2794 3051
384,3265 4446 1910 4234 2646 1985 4308 4503 3090 1899
385,2943 2646 1901 1951 3643 3861 4532 3168 3128 4308
386,3470 2206 4406 2663 2696 4403 4223 4221 4295 4277
387,2943 3168 2902 2911 3861 2866 2238 1951 2646 4308
388,2064 2220 4440 2943 4407 4403 4389 3090 2944 3150
389,1951 2646 4308 4234 4362 3995 2943 4361 4532 1899
390,3995 2910 1961 4308 4371 4207 4224 4386 3585 2244
391,4234 4308 3995 2244 4361 1961 2646 4224 4545 4515
392,4308 1961 1985 3641 4286 3265 4134 3995 4224 4503
393,4440 4389 2220 3265 2943 1901 3090 2646 3565 1958
394,2943 4308 2902 2911 3861 1901 1918 4286 2646 2408
395,4371 1961 3861 1967 4296 4249 4439 4337 4134 4373
396,2405 3149 1960 2943 3090 2254 2249 2171 4403 4329
397,2646 2943 4308 1951 4361 3861 2866 1958 4403 3995
398,1842 2791 4409 4302 4376 4227 4371 1825 2674 3437
399,4407 4403 2064 2220 2943 1958 2866 2408 4389 2663
400,2064 2061 2253 4404 3026 3150 4403 2949 3090 2060
401,4403 4407 1958 3209 2408 2944 4400 2247 1918 1966
402,4447 2405 2663 2253 3932 2204 2968 3090 4372 2794
403,2220 2866 2865 1836 3844 4408 2254 3470 2696 2831
404,2865 2866 1966 4532 3470 4403 2696 2238 4243 3844
405,1985 2943 4396 1901 3265 1918 1899 3090 1986 1960
406,2238 3843 2944 4403 2911 2902 4400 2521 4407 2696
407,2245 3641 1910 4286 4503 3265 4521 4313 4502 4308
408,3470 1910 3077 2943 2866 3078 2646 4446 4308 1836
409,4308 4234 1907 4328 1985 4243 2198 1899 4184 1909
410,2646 4308 4515 4545 4361 4234 1824 4243 3006 2866
411,4403 3090 2247 4545 4515 4361 4407 1960 1958 2249
412,3026 1958 2064 3149 4407 3150 2405 2408 1901 3090
413,3889 1910 4134 2044 4521 3641 1961 3265 2245 4503
414,2663 2968 2695 2794 2661 2253 3265 2255 3552 3595
415,1910 4446 3641 4503 4502 2044 4521 3889 4308 3470
416,4403 3843 4407 2944 2866 4361 2061 1824 1958 3090
417,2062 4110 3431 3149 3260 4411 3261 4205 2886 2405
418,3861 4308 3995 1824 4328 4361 4234 1961 1909 4409
419,4197 2243 2254 2206 1970 4346 2866 4408 4406 4250
420,3078 3470 3077 1910 2646 2943 2944 2866 3169 3889
421,2866 2865 4403 4532 4407 1966 2943 4308 2646 4400
422,3265 4396 1958 1901 2245 2408 3090 2943 2221 1918
423,4407 1958 2802 2064 2220 2408 4389 2962 2944 3209
424,1910 3168 4503 2220 1836 3844 4408 4403 4502 2408
425,2943 1901 1958 4407 4403 2646 3265 4396 2866 2408
426,4440 4389 2220 2254 2962 2944 4408 4407 2032 4414
427,2943 4286 2646 1951 3861 4308 2866 1901 2911 2902
428,4446 3641 4134 3265 4503 2044 4502 1910 4234 3889
429,3861 2943 2911 2902 3168 4308 1907 2238 2831 1951
430,4403 2866 1966 2865 4407 2238 1833 1958 4400 3027
431,2865 2866 2220 1966 3844 3470 2696 3168 4403 4532
432,4308 3861 2943 2646 2902 2911 2944 2244 2408 4329
433,1951 2646 3861 2866 2943 2220 4308 2865 2902 2911
434,2663 3265 3090 2802 3150 1958 2247 4396 2695 4407
435,2646 2943 2865 2244 4403 4308 1836 2866 3844 2220
436,4400 4308 2238 4362 4328 4361 4403 4430 3995 2928
437,2962 2944 4407 3843 1966 2521 3209 4403 2866 4387
